STATE,HOSPITAL,CITY,ZIPCODE,CERT_DESIGNATION,CERT_ORG,OBJECTID,HOSPITAL_LAT,HOSPITAL_LONG,
Delaware,Christiana Care Health Services,Newark,19713,Acute Stroke Ready Hospital             ,The Joint Commission,194,39.68813,-75.66979,
Delaware,Christiana Care Health Services,Newark,19713,Comprehensive Stroke Center,The Joint Commission,195,39.68813,-75.66979,
Delaware,Christiana Care Health Services,Newark,19713,Primary Stroke Center,The Joint Commission,198,39.68813,-75.66979,
Delaware,Beebe Medical Center,Lewes,19958,Primary Stroke Center,The Joint Commission,196,38.775785,-75.140675,
Delaware,Bayhealth Medical Center,Dover,19901,Primary Stroke Center,The Joint Commission,200,39.1601351,-75.5183205,
Delaware,Bayhealth Hospital Sussex Campus,Milford,19963,Primary Stroke Center,The Joint Commission,201,38.88654,-75.39116,
Florida,UF Health Jacksonville,Jacksonville,32209,Comprehensive Stroke Center,DNV GL,663,30.3478,-81.66435,
Florida,Tampa General Hospital,Tampa,33606,Comprehensive Stroke Center,HFAP,664,27.93753,-82.45929,
Florida,St. Joseph's Hospital South,Riverview,33578,Primary Stroke Center,DNV GL,211,27.78868,-82.34623,
Florida,St. Joseph's Hospital North,Lutz,33558,Primary Stroke Center,DNV GL,210,28.13014,-82.50896,
Florida,St. Joseph's Hospital,Tampa,33507,Comprehensive Stroke Center,DNV GL,662,27.98284,-82.49132,
Florida,South Florida Baptist Hospital,Plant City ,33563,Primary Stroke Center,DNV GL,209,28.01564,-82.139,
Florida,Sarasota Memorial Health Care System,Sarasota,34329,Comprehensive Stroke Center,DNV GL,661,27.31827,-82.53125,
Florida,Ocala Regional Medical Center,Ocala,34471,Comprehensive Stroke Center,DNV GL,660,29.1755,-82.13681,
Florida,Northside Hospital,St. Petersburg,33709,Comprehensive Stroke Center,DNV GL,659,27.81822504,-82.72528991,
Florida,North Florida Regional Medical Center,Gainesville,32605,Comprehensive Stroke Center,DNV GL,605,29.66046,-82.41225,
Florida,Lee Memorial Hospital,Fort Myers,33901,Primary Stroke Center,DNV GL,208,26.62821,-81.87369,
Florida,Gulf Coast Medical Center,Fort Myers,33912,Comprehensive Stroke Center,DNV GL,556,26.54415,-81.85003,
Florida,Gulf Breeze Hospital,Gulf Breeze ,32562,Primary Stroke Center,DNV GL,207,30.36631,-87.16885,
Florida,Cape Coral Hospital,Cape Coral,33990,Primary Stroke Center,DNV GL,206,26.63943,-81.94324,
Florida,Bayfront Health St. Petersburg,St. Petersburg,33701,Comprehensive Stroke Center,DNV GL,213,27.76318,-82.64182,
Florida,Baptist Hospital,Pensacola,32501,Primary Stroke Center,DNV GL,205,30.42956,-87.23205,
Florida,Ascension Sacred Heart Pensacola,Pensacola,32504,Comprehensive Stroke Center,DNV GL,212,30.47647,-87.21219,
Florida,AdventHealth Wesley Chapel,Wesley Chapel,33544,Primary Stroke Center,DNV GL,204,28.24049,-82.32764,
Florida,Advent Health Winter Park,Winter Park,32792,Primary Stroke Center,DNV GL,202,28.5979,-81.32679,
Florida,Advent Health Orlando,Orlando,32803,Primary Stroke Center,DNV GL,203,28.57325,-81.36974,
Georgia,Wellstar Spalding Regional Hospital,Griffin,30224,Primary Stroke Center,The Joint Commission,711,33.23894,-84.26728,
Georgia,WellStar Kennestone Regional Medical Center,Marietta,30060,Comprehensive Stroke Center,The Joint Commission,668,33.9521708,-84.540895,
Georgia,WellStar Cobb Hospital,Austell,30106,Primary Stroke Center,The Joint Commission,710,33.85613,-84.60207,
Georgia,WellStar Atlanta Medical Center,Atlanta,30312,Primary Stroke Center,The Joint Commission,709,33.7631,-84.37356,
Georgia,University Health Services,Augusta,30901,Primary Stroke Center,The Joint Commission,708,33.462605,-81.981405,
Georgia,"The Hospital Authority of Valdosta and Lowndes County, GA",Valdosta,31602,Primary Stroke Center,The Joint Commission,657,30.85842,-83.27829,
Georgia,Tanner Medical Center / Villa Rica,Villa Rica,30180,Primary Stroke Center,The Joint Commission,554,33.74501,-84.91579,
Georgia,Tanner Medical Center,Carrollton,30117,Primary Stroke Center,The Joint Commission,607,33.5697,-85.07412,
Georgia,St. Mary's Health Care System,Athens,30606,Primary Stroke Center,The Joint Commission,706,33.94666,-83.40512,
Georgia,St. Francis Health,Columbus,31904,Primary Stroke Center,The Joint Commission,705,32.50937899,-84.9570329,
Georgia,"Southern Regional, Prime Healthcare Foundation",Riverdale,30274,Primary Stroke Center,The Joint Commission,704,33.57884,-84.389,
Georgia,Saint Joseph's Hospital,Savannah,31419,Primary Stroke Center,The Joint Commission,703,31.98514,-81.15475,
Georgia,Redmond Park Hospital,Rome,30165,Primary Stroke Center,The Joint Commission,702,34.2666625,-85.2126435,
Georgia,Piedmont Rockdale Hospital,Conyers,30012,Acute Stroke Ready,DNV GL,687,33.6666367,-84.0211938,
Georgia,Piedmont Newnan Hospital,Newnan,30265,Primary Stroke Center,DNV GL,693,33.35896,-84.75437,
Georgia,Piedmont Hospital,Atlanta,30309,Primary Stroke Center,DNV GL,692,33.80885,-84.39554,
Georgia,Piedmont Henry Hospital,Stockbridge,30281,Primary Stroke Center,DNV GL,691,33.5115,-84.22703,
Georgia,Piedmont Fayette Hospital,Fayetteville,30214,Primary Stroke Center,DNV GL,690,33.45232,-84.50759,
Georgia,Piedmont Athens Regional Medical Center,Athens,30606,Primary Stroke Center,DNV GL,689,33.954697,-83.3964361,
Georgia,Phoebe Putney Memorial Hospital,Albany,31702,Primary Stroke Center,DNV GL,688,31.59022,-84.15755,
Georgia,Northside Hospital-Cherokee,Canton,30115,Primary Stroke Center,The Joint Commission,699,34.22975,-84.46589,
Georgia,Northside Hospital - Forsyth,Cumming,30041,Primary Stroke Center,The Joint Commission,698,34.17868,-84.14081,
Georgia,Northside Hospital,Atlanta,30342,Primary Stroke Center,The Joint Commission,700,33.9096,-84.35219,
Georgia,Northside Hospital,Lawrenceville,30046,Primary Stroke Center,The Joint Commission,701,33.955475,-83.99105,
Georgia,Northeast Georgia Medical Center ,Gainesville,30501,Primary Stroke Center,DNV GL,685,34.30346,-83.81759,
Georgia,North Fulton Medical Center,Roswell,30076,Primary Stroke Center,The Joint Commission,697,34.0367583,-84.3360572,
Georgia,Midtown Medical Center ,Columbus,31901,Primary Stroke Center,The Joint Commission,684,32.463855,-84.98902,
Georgia,Memorial Health University Medical Center ,Savannah,30404,Primary Stroke Center,DNV GL,683,33.47077,-81.99065,
Georgia,Medical Center – Navicent Health ,Macon,31201,Primary Stroke Center,DNV GL,682,32.83322,-83.63615,
Georgia,Meadows Regional Medical Center,Vidalia,30474,Acute Stroke Ready,DNV GL,686,32.20889,-82.37792,
Georgia,Higgins General Hospital,Bremen,30110,Acute Stroke Ready Hospital,The Joint Commission,696,33.71668,-85.14517,
Georgia,Hamilton Medical Center ,Dalton,30722,Primary Stroke Center,The Joint Commission,681,34.78963,-84.98397,
Georgia,Hamilton Health Care System,Dalton,30720,Primary Stroke Center,The Joint Commission,695,34.78963,-84.98397,
Georgia,Habersham Medical Center ,Demorest,30535,Primary Stroke Center,DNV GL,680,34.58173,-83.53718,
Georgia,Grady Memorial Hospital,Atlanta,30303,Comprehensive Stroke Center,The Joint Commission,667,33.75232,-84.38242,
Georgia,Floyd Medical Center ,Rome,30165,Primary Stroke Center,The Joint Commission,679,34.25934,-85.17871,
Georgia,"Fairview Park Hospital, LP",Dublin,31021,Primary Stroke Center,The Joint Commission,694,32.53077,-82.95058,
Georgia,Emory University Hospital Midtown ,Atlanta,30308,Primary Stroke Center,The Joint Commission,678,33.7696,-84.38546,
Georgia,Emory University Hospital,Atlanta,30322,Comprehensive Stroke Center,The Joint Commission,666,33.79232,-84.32186,
Georgia,Emory St. Joseph’s Hospital of Atlanta ,Atlanta,30342,Primary Stroke Center,The Joint Commission,677,33.90842,-84.34973,
Georgia,Emory Johns Creek Hospital ,Johns Creek,30097,Primary Stroke Center,The Joint Commission,676,34.067,-84.17615,
Georgia,Emory Decatur Hospital ,Decatur,30033,Primary Stroke Center,The Joint Commission,675,33.79038,-84.28236,
Georgia,Eastside Medical Center ,Snellville,30078,Primary Stroke Center,The Joint Commission,674,33.87691,-84.02095,
Georgia,Doctors Hospital of Augusta ,Augusta,30909,Primary Stroke Center,The Joint Commission,673,33.48306,-82.09179,
Georgia,Coliseum Northside Hospital ,Macon ,31210,Primary Stroke Center,The Joint Commission,672,32.87087,-83.69443,
Georgia,Coliseum Medical Centers ,Macon,31217,Primary Stroke Center,The Joint Commission,671,32.84704,-83.61823,
Georgia,Cartersville Medical Center ,Cartersville,30120,Primary Stroke Center,The Joint Commission,670,34.20048,-84.79554,
Georgia,Augusta University Medical Center,Augusta,30912,Comprehensive Stroke Center,The Joint Commission,665,33.47077,-81.99065,
Georgia, Candler Hospital - Savannah ,Savannah,31405,Primary Stroke Center,The Joint Commission,669,32.048575,-81.10967,
Hawaii,Wilcox Memorial Hospital,Lihue,96766,Primary Stroke Center,The Joint Commission,714,21.97559,-159.36773,
Hawaii,The Queen's Medical Center,Honolulu,96813,Comprehensive Stroke Center,The Joint Commission,712,21.30781,-157.85394,
Hawaii,Straub Clinic and Hospital,Honolulu,96813,Primary Stroke Center,The Joint Commission,716,21.30645,-157.8562,
Hawaii,Pali Momi Medical Center,Aiea,96701,Primary Stroke Center,The Joint Commission,718,21.38351,-157.93848,
Hawaii,Maui Memorial Medical Center,Wailuku,96793,Primary Stroke Center,The Joint Commission,719,20.88486,-156.48941,
Hawaii,Kaiser Foundation Hospital,Honolulu,96819,Primary Stroke Center,The Joint Commission,713,21.3310633,-157.8823263, 
Hawaii,Hilo Medical Center,Hilo,96720,Primary Stroke Center,The Joint Commission,715,19.71836,-155.11311,
Hawaii,Adventist Health Castle,Kailua,96734,Primary Stroke Center,The Joint Commission,717,21.38039,-157.75773,
Idaho,St. Luke's Regional Medical Center,Boise,83712,Primary Stroke Center,The Joint Commission,720,43.609085,-116.180885,
Idaho,"St. Luke's Magic Valley Regional Medical Center, Ltd.",Twin Falls,83301,Primary Stroke Center,The Joint Commission,722,42.56311,-114.47561,
Idaho,Eastern Idaho Regional Medical Center,Idaho Falls,83404,Primary Stroke Center,The Joint Commission,721,43.46986,-111.99208,
Illinois,West Suburban Medical Center,Oak Park,60302,Primary Stroke Center,The Joint Commission,582,41.89153,-87.77628,
Illinois,Weiss Memorial Hospital,Chicago,60640,Primary Stroke Center,The Joint Commission,581,41.96698,-87.64941,
Illinois,Washington County Hospital,Nashville,62263,Acute Stroke Ready Hospital,State,580,38.33925,-89.39083,
Illinois,Warner Hospital and Health Services (Dr. John Warner Hospital),Clinton,61727,Acute Stroke Ready Hospital,State,579,40.14872,-88.9651,
Illinois,Wabash General Hospital District,Mt. Carmel,62863,Acute Stroke Ready Hospital,State,578,38.42098,-87.76913,
Illinois,Vista Health System,Waukegan,60085,Primary Stroke Center,The Joint Commission,577,42.37838,-87.83232,
Illinois,University of Illinois Hospital Health Sciences System- Chicago,Chicago,60612,Comprehensive Stroke Center,The Joint Commission,576,41.879875,-87.685595,
Illinois,University of Chicago Hospitals and Health Systems,Chicago,60637,Comprehensive Stroke Center,The Joint Commission,575,41.77693,-87.609505,
Illinois,Unity Point Health Proctor Hospital,Peoria,61614,Acute Stroke Ready Hospital,State,574,40.75288,-89.59386,
Illinois,Unity Point Health Pekin,Pekin,61554,Acute Stroke Ready Hospital,State,573,40.56346,-89.63285,
Illinois,Unity Point Health Methodist,Peoria,61625,Primary Stroke Center,The Joint Commission,572,40.70058,-89.59494,
Illinois,Trinity Medical Center (West) - DBA Trinity Rock Island,Rock Island,61201,Primary Stroke Center,The Joint Commission,571,41.497435,-90.585955,
Illinois,Thomas H. Boyd Memorial Hospital,Carrollton,62016,Acute Stroke Ready Hospital,State,570,39.29621,-90.41273,
Illinois,Taylorville Memorial Hospital,Taylorville,62568,Acute Stroke Ready Hospital,State,569,39.55505,-89.29374,
Illinois,Swedish Covenant Hospital,Chicago,60625,Primary Stroke Center,HFAP,568,41.97501,-87.69921,
Illinois,Swedish American A Division of UW health,Rockford,61104,Primary Stroke Center,The Joint Commission,567,42.26001,-89.083765,
Illinois,St. Margaret's Hospital,Spring Valley,61362,Acute Stroke Ready Hospital,State,566,41.32764,-89.199695,
Illinois,St. Joseph Memorial Hospital,Murphysboro,62966,Acute Stroke Ready Hospital,State,565,37.77365,-89.32503,
Illinois,SSM Health St. Mary's Hospital,Centralia,62801,Acute Stroke Ready Hospital,State,564,38.53097,-89.11776,
Illinois,SSM Health Good Samaritan,Mt. Vernon,62864,Primary Stroke Center,The Joint Commission,563,38.29784,-88.94125,
Illinois,Sparta Community Hospital,Sparta,62286,Acute Stroke Ready Hospital,State,562,38.12427,-89.69176,
Illinois,Silver Cross Hospital and Medical Centers,New Lenox,60435,Primary Stroke Center,The Joint Commission,561,41.531235,-88.09469,
Illinois,Sarah D. Culbertson Memorial Hospital,Rushville,62681,Acute Stroke Ready Hospital,State,560,40.11788,-90.56412,
Illinois,Sarah Bush Lincoln Health Center,Mattoon,61938,Acute Stroke Ready Hospital,State,559,39.48794,-88.2738,
Illinois,Salem Township Hospital,Salem,62881,Acute Stroke Ready Hospital,State,558,38.64157,-88.94756,
Illinois,Rush University Medical Center,Chicago,60612,Comprehensive Stroke Center,The Joint Commission,557,41.87449,-87.66819,
Illinois,Rush Oak Park Hospital,Oak Park,60304,Primary Stroke Center,The Joint Commission,584,41.87866,-87.80361,
Illinois,Rochelle Community Hospital,Rochelle,61068,Acute Stroke Ready Hospital,State,552,41.92871,-89.06343,
Illinois,Riverside Medical Center,Kankakee,60901,Primary Stroke Center,DNV GL,501,41.1256,-87.883,
Illinois,Red Bud Regional Hospital,Red Bud,62278,Acute Stroke Ready Hospital,State,551,38.20925,-89.9973,
Illinois,Protestant Memorial Medical Center,Belleville,62226,Acute Stroke Ready Hospital,State,550,38.541535,-90.0178,
Illinois,Presence St. Mary's Hospital,Kankakee,60901,Primary Stroke Center,The Joint Commission,549,41.11674,-87.85528,
Illinois,Presence Saints Mary and Elizabeth Medical Center,Chicago,60622,Primary Stroke Center,The Joint Commission,548,41.90303,-87.68339,
Illinois,Presence Saint Joseph Medical Center,Joliet,60435,Comprehensive Stroke Center,DNV GL,547,41.531235,-88.09469,
Illinois,Presence Saint Joseph Hospital - Chicago,Chicago,60657,Primary Stroke Center,The Joint Commission,546,41.93391,-87.63686,
Illinois,Presence Saint Joseph Hospital,Elgin,60123,Primary Stroke Center,The Joint Commission,545,42.034805,-88.293935,
Illinois,Presence Saint Francis Hospital,Evanston,60202,Primary Stroke Center,The Joint Commission,544,42.02561,-87.685945,
Illinois,Presence Mercy Medical Center,Aurora,60506,Primary Stroke Center,The Joint Commission,542,41.760805,-88.322445,
Illinois,Pipeline-Westlake Hospital,Melrose Park,60160,Primary Stroke Center,The Joint Commission,583,41.90325,-87.85336,
Illinois,Pinckneyville Community Hospital,Pinckneyville,62274,Acute Stroke Ready Hospital,State,541,38.08451,-89.34909,
Illinois,Perry Memorial Hospital,Princeton,61356,Acute Stroke Ready Hospital,State,540,41.36706,-89.45579,
Illinois,Passavant Area Hospital,Jacksonville,62650,Acute Stroke Ready Hospital,State,539,39.74655,-90.25972,
Illinois,Pana Community Hospital,Pana,62557,Acute Stroke Ready Hospital,State,538,39.37935,-89.08436,
Illinois,Palos Hospital,Palos Heights,60463,Acute Stroke Ready Hospital,State,537,41.66995,-87.81289,
Illinois,OSF Little Company of Mary Hospital,Evergreen Park,60805,Primary Stroke Center,The Joint Commission,447,41.72134,-87.69095,
Illinois,OSF Healthcare St. Paul Medical Center -Mendota,Mendaota,61341,Acute Stroke Ready Hospital,State,536,41.33027,-88.701735,
Illinois,OSF Healthcare St. Mary Medical Center,Galesburg,61401,Acute Stroke Ready Hospital,State,535,40.98729,-90.35961,
Illinois,OSF Healthcare St. Joseph Medical Center,Bloomington,61701,Primary Stroke Center,The Joint Commission,534,40.48221,-88.95528,
Illinois,OSF Healthcare Saint Luke Medical Center,Kewanee,61443,Acute Stroke Ready Hospital,State,533,41.22203,-89.94834,
Illinois,OSF Healthcare Saint James John w. Albrecht Medical Center,Pontiac,61764,Acute Stroke Ready Hospital,State,532,40.86961,-88.67876,
Illinois,OSF Healthcare Saint Francis Medical Center,Peoria,61637,Comprehensive Stroke Center,The Joint Commission,531,40.7025,-89.58959,
Illinois,OSF Healthcare Saint Elizabeth Medical Center,Ottawa,61350,Acute Stroke Ready Hospital,State,530,41.35725,-88.82449,
Illinois,OSF Healthcare Saint Anthony's Health Center,Alton,62002,Primary Stroke Center,The Joint Commission,529,38.90787,-90.17379,
Illinois,OSF Healthcare Saint Anthony Medical Center,Rockford,61108,Comprehensive Stroke Center,DNV GL,528,42.26721,-89.00775,
Illinois,OSF Healthcare Sacred Heart Medical Center-Danville,Danville,61832,Primary Stroke Center,The Joint Commission,527,40.13687,-87.64555,
Illinois,OSF Healthcare Holy Family Medical Center,Monmouth,61462,Acute Stroke Ready Hospital,State,526,40.92219,-90.65883,
Illinois,OSF Healthcare Heart of Mary Medical Center - Urbana,Urbana,61801,Primary Stroke Center,The Joint Commission,525,40.11758,-88.22694,
Illinois,Norwegian-American Hospital,Chicago,60622,Primary Stroke Center,HFAP,524,41.90106,-87.69932,
Illinois,Northwestern Memorial Hospital,Chicago,60611,Comprehensive Stroke Center,The Joint Commission,523,41.89495,-87.62223,
Illinois,Northwestern Medicine-Valley West Hospital,Sandwich,60548,Acute Stroke Ready Hospital,State,522,41.65718,-88.62073,
Illinois,Northwestern Medicine-Lake Forest Hospital,Lake Forest,60045,Primary Stroke Center,The Joint Commission,520,42.25719,-87.86647,
Illinois,Northwestern Medicine-Kishwaukee Hospital,DeKalb,60115,Primary Stroke Center,The Joint Commission,519,41.96107,-88.72258,
Illinois,Northwestern Medicine-Delnor Community Hospital,Geneva,60134,Primary Stroke Center,The Joint Commission,518,41.887515,-88.3108,
Illinois,Northwestern Medicine-Central DuPage Hospital,Winfield,60190,Comprehensive Stroke Center,The Joint Commission,517,41.8732,-88.15727,
Illinois,Northwestern Medicine McHenry Hospital,McHenry,60050,Primary Stroke Center,The Joint Commission,521,42.31801,-88.28048,
Illinois,Northwest Community Hospital,Arlington Heights,60005,Comprehensive Stroke Center,The Joint Commission,516,42.06733,-87.99133,
Illinois,NorthShore University HealthSystem-Highland Park Hospital,Highland Park,60035,Primary Stroke Center,The Joint Commission,515,42.186275,-87.801605,
Illinois,NorthShore University HealthSystem-Glenbrook Hospital,Glenview,60026,Primary Stroke Center,The Joint Commission,514,42.092069,-87.8411229,
Illinois,NorthShore University HealthSystem-Evanston Hospital,Evanston,60201,Primary Stroke Center,The Joint Commission,513,42.06544,-87.68401,
Illinois,Mount Sinai Hospital Medical Center,Chicago,60608,Primary Stroke Center,The Joint Commission,512,41.85904,-87.66014,
Illinois,Morris Hospital and Healthcare Centers,Morris,60450,Primary Stroke Center,HFAP,511,41.36952,-88.42616,
Illinois,Midwest Medical Center,Galena,61036,Acute Stroke Ready Hospital,State,510,42.44909,-90.45729,
Illinois,Mercy Hospital & Medical Center,Chicago,60616,Primary Stroke Center,HFAP,509,41.84659,-87.62273,
Illinois,Mercy Harvard Hospital,Harvard,60033,Acute Stroke Ready Hospital,The Joint Commission,508,42.42141,-88.614335,
Illinois,Memorial Medical Center,Springfield,62781,Comprehensive Stroke Center,The Joint Commission,507,39.80873,-89.65471,
Illinois,Memorial Hospital-Carthage,Carthage,62321,Acute Stroke Ready Hospital,State,506,40.41366,-91.133645,
Illinois,Memorial Hospital of Chester,Chester,62233,Acute Stroke Ready Hospital,State,505,37.91938,-89.81139,
Illinois,Memorial Hospital of Carbondale,Carbondale,62901,Primary Stroke Center,The Joint Commission,504,37.72766,-89.22006,
Illinois,Memorial Hospital East,Shiloh,62269,Acute Stroke Ready Hospital,State,503,38.57337,-89.90503,
Illinois,McDonough District Hospital,Macomb,61455,Acute Stroke Ready Hospital,State,502,40.44698,-90.66462,
Illinois,Massac Memorial Hospital,Metropolis,62960,Acute Stroke Ready Hospital,State,451,37.16646,-88.73968,
Illinois,Mason District Hospital,Havana,62644,Acute Stroke Ready Hospital,State,450,40.30531,-90.05511,
Illinois,Marshall Browning Hospital,Du Quoin,62832,Acute Stroke Ready Hospital,State,449,38.02501,-89.23651,
Illinois,Loyola University Medical Center,Maywood,60153,Comprehensive Stroke Center,The Joint Commission,448,41.85952,-87.8341,
Illinois,Lawrence County Memorial Hospital,Lawrenceville,62439,Acute Stroke Ready Hospital,State,445,38.72995,-87.69551,
Illinois,Kirby Medical Center,Monticello,61856,Acute Stroke Ready Hospital,State,444,40.06053,-88.55969,
Illinois,Katherine Shaw Bethea Hospital,Dixon,61021,Acute Stroke Ready Hospital,State,443,41.83845,-89.48042,
Illinois,"John H. Stroger, Jr. Hospital of Cook County",Chicago,60612,Primary Stroke Center,The Joint Commission,442,41.87294,-87.67364,
Illinois,Jersey Community Hospital,Jerseyville,62052,Acute Stroke Ready Hospital,State,441,39.1104,-90.34311,
Illinois,Javon Bea Hospital-Rockton Ave,Rockford,61103,Primary Stroke Center,DNV GL,440,42.29888,-89.09752,
Illinois,Javon Bea Hospital-Riverside Campus,Rockford,61111,Comprehensive Stroke Center,DNV GL,439,42.30400141,-89.04906366,
Illinois,Iroquois Memorial Hospital,Watseka,60970,Acute Stroke Ready Hospital,State,438,40.7665,-87.73115,
Illinois,Ingalls Memorial Hospital,Harvey,60426,Primary Stroke Center,DNV GL,437,41.6208,-87.645935,
Illinois,Illinois Valley Community Hosptial,Peru,61354,Acute Stroke Ready Hospital,State,436,41.32883,-89.12521,
Illinois,Illini Community Hospital,Pittsfield,62363,Acute Stroke Ready Hospital,State,435,39.60722,-90.81519,
Illinois,HSHS St. Mary's Hospital,Decatur,62521,Primary Stroke Center,The Joint Commission,434,39.82755,-88.93188,
Illinois,HSHS St. Joseph's Hospital,Breese,62230,Acute Stroke Ready Hospital,State,432,38.62599,-89.52409,
Illinois,HSHS St. Joseph's Hospital,Highland,62249,Acute Stroke Ready Hospital,State,433,38.75524,-89.66799,
Illinois,HSHS St. John's Hospital,Springfield,62769,Primary Stroke Center,The Joint Commission,431,39.80659,-89.64396,
Illinois,HSHS St. Francis Hospital,Litchfield,62056,Acute Stroke Ready Hospital,State,430,39.18084,-89.63899,
Illinois,HSHS St. Elizabeth's Hospital,Ofallon,62269,Acute Stroke Ready Hospital,State,429,38.58352,-89.93217,
Illinois,HSHS St. Anthony's Memorial Hospital,Effingham,62401,Acute Stroke Ready Hospital,State,428,39.12577,-88.54974,
Illinois,HSHS Holy Family Hospital,Greenville,62246,Acute Stroke Ready Hospital,State,427,38.90278,-89.40772,
Illinois,HSHS Good Shepherd Hospital,Shelbyville,62565,Acute Stroke Ready Hospital,State,426,39.40581,-88.80829,
Illinois,Horizon Health,Paris,61944,Acute Stroke Ready Hospital,State,425,39.60718,-87.67795,
Illinois,Hopedale Hospital,Hopedale,61747,Acute Stroke Ready Hospital,State,424,40.42087,-89.41406,
Illinois,Holy Cross Hospital,Chicago,60629,Primary Stroke Center,HFAP,423,41.76908,-87.69111,
Illinois,Hillsboro Area Hospital,Hillsboro,62049,Acute Stroke Ready Hospital,State,422,39.15172,-89.48067,
Illinois,Herrin Hospital,Herrin,62948,Primary Stroke Center,The Joint Commission,421,37.805235,-89.02812,
Illinois,Heartland Regional Medical Center,Marion,62959,Acute Stroke Ready Hospital,State,420,37.74311,-88.99167,
Illinois,Harrisburg Medical Center,Harrisburg,62946,Acute Stroke Ready Hospital,State,419,37.73096,-88.5234,
Illinois,Hammond-Henry Hospital,Geneseo,61254,Acute Stroke Ready Hospital,State,418,41.46014,-90.15762,
Illinois,Hamilton Memorial Hospital,McLeansboro,62859,Acute Stroke Ready Hospital,State,417,38.08717,-88.54024,
Illinois,Graham Health System,Canton,61520,Acute Stroke Ready Hospital,State,416,40.55269,-90.03916,
Illinois,Gottlieb Memorial Hospital,Melrose Park,60160,Acute Stroke Ready Hospital,State,415,41.9086,-87.8427,
Illinois,Gottlieb Community Health Services Corporation - MacNeal Hospital,Berwyn,60402,Comprehensive Stroke Center,The Joint Commission,414,41.830485,-87.791175,
Illinois,Gibson Community Hospital,Gibson City,60936,Acute Stroke Ready Hospital,State,413,40.46304,-88.37378,
Illinois,Genesis Medical Center Silvis,Silvis,61282,Acute Stroke Ready Hospital,State,412,41.49378,-90.41868,
Illinois,Genesis Medical Center Aledo,Aledo,61231,Acute Stroke Ready Hospital,State,411,41.20533,-90.75867,
Illinois,Galesburg Cottage Hospital,Galesburg,61401,Primary Stroke Center,The Joint Commission,410,40.95562,-90.36533,
Illinois,Franklin Hospital,Benton,62791,Acute Stroke Ready Hospital,State,409,38.00982,-88.91819,
Illinois,Franciscan Health Olympia Fields,Olympia Fields,60461,Acute Stroke Ready Hospital,State,408,41.5224,-87.71078,
Illinois,FHN Memorial Hospital,Freeport,61032,Acute Stroke Ready Hospital,State,407,42.29505,-89.63776,
Illinois,Ferrell Hospital Community Foundation,Eldorado,62930,Acute Stroke Ready Hospital,State,406,37.81648,-88.440445,
Illinois,Fayette County Hospital,Vandalia,62471,Acute Stroke Ready Hospital,State,405,38.96985,-89.09932,
Illinois,Fairfield Memorial Hospital,Fairfield,62837,Acute Stroke Ready Hospital,State,404,38.38134,-88.37447,
Illinois,Elmhurst Memorial Hospital,Elmhurst,60126,Primary Stroke Center,The Joint Commission,403,41.901395,-87.93994,
Illinois,Edward Hospital,Naperville,60540,Comprehensive Stroke Center,DNV GL,402,41.76639967,-88.1249078,
Illinois,Decatur Memorial Hospital,Decatur,62526,Primary Stroke Center,The Joint Commission,401,39.86751,-88.96231,
Illinois,Crawford Memorial Hospital,Robinson,62454,Acute Stroke Ready Hospital,State,754,39.01419,-87.75052,
Illinois,Copley Memorial Hospital (Rush-Copley),Aurora,60504,Primary Stroke Center,The Joint Commission,753,41.760355,-88.223225,
Illinois,Community Hospital of Staunton,Staunton,62088,Acute Stroke Ready Hospital,State,752,39.01544,-89.78941,
Illinois,Community First Medical Center,Chicago,60634,Primary Stroke Center,The Joint Commission,751,41.94559,-87.769,
Illinois,Clay County Hospital,Flora,62839,Acute Stroke Ready Hospital,State,750,38.68091,-88.47222,
Illinois,CGH Medical Center,Sterling,61081,Acute Stroke Ready Hospital,State,749,41.80198,-89.69689,
Illinois,Carlinville Area Hospital Association,Carlinville,62626,Acute Stroke Ready Hospital,State,748,39.29939,-89.88279,
Illinois,Carle Richland Memorial Hospital,Olney,62450,Acute Stroke Ready Hospital,State,747,38.73656,-88.07745,
Illinois,Carle Hoopeston Regional Health Center,Hoopeston,60942,Acute Stroke Ready Hospital,State,746,40.45899,-87.66014,
Illinois,Carle Foundation Hospital,Urbana,61801,Comprehensive Stroke Center,DNV GL,745,40.11695,-88.21506,
Illinois,Blessing Hospital,Quincy,62305,Primary Stroke Center,DNV GL,744,39.93664,-91.39832,
Illinois,Anna Hospital Corporation DBA Union County Hospital,Anna,62906,Acute Stroke Ready Hospital,State,743,37.4622232,-89.2482673,
Illinois,Anderson Hospital,Maryville,62062,Acute Stroke Ready Hospital,State,742,38.73669,-89.94666,
Illinois,AMITA Health St. Alexius Medical Center,Hoffman Estates,60010,Primary Stroke Center,The Joint Commission,741,42.05281,-88.14193,
Illinois,AMITA Health Resurrection Medical Center,Chicago,60631,Comprehensive Stroke Center,DNV GL,543,41.98793,-87.81315,
Illinois,AMITA Health Alexian Brothers Medical Center,Elk Grove Village,60007,Comprehensive Stroke Center,The Joint Commission,740,42.0044,-88.01475,
Illinois,AMITA Health Adventist Medical Center Glen Oaks,Glendale Heights,60139,Primary Stroke Center,The Joint Commission,739,41.91465,-88.05719,
Illinois,AMITA Health Adventist Medical Center Bolingbrook,Bolingbrook,60440,Primary Stroke Center,The Joint Commission,738,41.70112,-88.08973,
